title,artist,first
"Lenny, The Hired Hand",Jonathan Winters,2013-04-20
Lightning Bug,Jonathan Winters,2021-06-05
"Lincoln, Grant And Booth",Jonathan Winters,2013-04-20
Maude Frickett And The Funeral,Jonathan Winters,2022-09-10
Oldest Airline Stewardess - Maude Frickert,Jonathan Winters,1982-11-21
Oldest Airline Stewardess (Maude Frickert),Jonathan Winters,1987-06-21
Schizo,Jonathan Winters,2021-06-26
Test Pilot,Jonathan Winters,2011-02-05
The Deer Hunter,Jonathan Winters,1989-11-05
Nee Nee Na Na Na Na Nu Nu,Jonathan Winters & The Martians,2015-11-21
Old Age Speaks Out,Jonathan Winters as Maude Frickert,2025-01-11
Hey Der Milwaukee Polka,Jonathon Brandmeier,1985-06-09
Lookin' For A Livin',Jonathon Brandmeier,1982-11-14
Looking For A Living or The Unemployment Song,Jonathon Brandmeier,1982-11-07
Moo Moo,Jonathon Brandmeier,1983-12-18
Party Animals,Jonathon Brandmeier,1982-11-07
The Moo Moo Song,Jonathon Brandmeier,1997-06-01
Unemployment Song (Lookin' For A Livin'),Jonathon Brandmeier,1982-12-05
We're Party Animals,Jonathon Brandmeier,1982-08-22
Astoria Stomp,Jones & Collins Astoria Hot Eight,1983-03-13
Astoria Strut,Jones & Collins Astoria Hot Eight,1980-03-09
As A Porcupine Pines For Its Pork,Jones & Hare,1974-10-20
Barney Google,Jones & Hare,1983-03-13
Collegiate,Jones & Hare,1979-08-19
Does The Spearmint Lose Its Flavor?,Jones & Hare,1975-07-20
Down At The Old Swimmin' Hole,Jones & Hare,1981-08-09
Down At The Old Swimming Hole,Jones & Hare,1981-07-19
I Can't Sleep In The Movies Any More,Jones & Hare,2018-05-12
I Wish I Was In Peoria,Jones & Hare,1975-03-23
I Wish't I Was In Peoria,Jones & Hare,1974-08-18
I'm Gonna Bring A Watermelon,Jones & Hare,1975-04-06
I've Never Seen A Straight Banana,Jones & Hare,1978-12-10
Jump Fritz (I Feed You Liver),Jones & Hare,2014-08-16
Old King Tut,Jones & Hare,1978-01-29
Pastafazoola,Jones & Hare,1977-05-01
"The Farmer Took Another Load Away, Hay! Hay!",Jones & Hare,1983-03-20
The Village Blacksmith Owns The Village Now,Jones & Hare,2019-10-05
Twisting The Dials,Jones & Hare,1976-04-11
"You Tell Her, I Stutter",Jones & Hare,1988-01-17
A Girl Named Harry,Joni Credit,1975-06-01
Why Don't You Believe Me,Joni James,1977-05-08
"Smokin' (Empty, Try Another)",Joni Mitchell,1985-11-03
The Circle Game,Joni Mitchell,1980-03-02
Twisted,Joni Mitchell,1992-02-02
The Ladies' Bras,Jonny Trunk & Wisbey,2020-10-03
Please Stop Playing That Didgeridoo,Jono Manson,2005-09-18
I'm Not Wearing Underwear Today,Jordan Gelber,2020-02-01
Dur Dur D'Etre B&eacute;b&eacute;! (It's Tough To Be A Baby!),Jordy,2024-02-03
Dur Dur D'Etre Bebe,Jordy,1995-11-19
It's Tough To Be A Baby (Dur Dur d'Etre Bebe!),Jordy,1993-07-11
It's Tough To Be A Baby (Dur Dur d'Etre Bebe!)/Miss Anne Elk,Jordy/Monty Python,1999-06-13
"Coffee, Tea Or Cuba",Jose de la Vega,2015-01-03
March Of The Christmas Toys,Jose Ferrer,1991-12-22
Woman (Uh-Huh),Jose Ferrer,1991-09-15
Nicaragua,Jose Gumbo & His Mariachi Mercenaries,1990-02-18
King Of The Surf,Jose Jimenez,1974-08-04
Life Is A Hot Fudge Sundae,Jose Jimenez,1976-02-01
The Astronaut,Jose Jimenez,2017-06-24
King Of The Surf,Jose Jiminez,1974-08-25
The Astronaut,Jose Jiminez,1972-04-23
Holy Guacamole,Jose Suicidio,2014-06-21
The Zulu Warrior,Josef Marais,1982-11-21
Sugarbush,Josef Marais & His Bushveld Band,1977-08-14
The Zulu Warrior,Josef Marais & His Bushveld Band,1982-12-12
Jingle Bells,Joseph Byrd,1975-12-14
Hay Fever,Joseph McCarthy Alive And Well Original Cast,1978-04-16
(Mama's Baby),Joseph Morray,1971-06-13
King Kong Stomp,Joseph Robichaux & His New Orleans Rhythm Boys,2010-06-26
Santa Claus Is Comin' To Town,Joseph Spence,1997-12-14
Santa Claus Is Coming To Town,Joseph Spence,1996-12-08
Down At The Funny Farm (Oy Vey),Josephine,1975-03-09
They're Coming To Take Me Away (Oy Vey),Josephine,1974-07-07
I Want To Yodel,Josephine Baker,1991-03-17
Down On The Funny Farm (Oy Vey),Josephine XIII,1974-01-20
They're Coming To Take Me Away (Oy Vey),Josephine XIII,1974-05-12
"They're Coming To Take Me Away, Oy Vey",Josephine XIII,1975-03-16
"I'm Happy They Took You Away, Ha-Haaa!",Josephine XV,2017-01-21
Blacks 'n' Jews,Josh Alan,1997-10-12
Bean Song,Josh Groban (for Bush's Beans),2021-04-17
Jingle Bells,"Josh Harmon, Allison Young, Josh Turner",2022-12-17
Trump Vs. Kim,Josh Lea,2017-09-30
Charlie Brown Christmas Medley,Josh Turner,2021-12-18
Gogoroditse Djevo (Arvo Part),Josh Turner,2021-12-25
Let's Do It,Josh Turner,2021-09-25
May 8th Reel,Josh Turner,2022-06-25
Ooh La La,Josh Turner,2021-09-25
Regret,Josh Turner,2020-09-19
See Emily Play,Josh Turner,2020-04-04
Something,Josh Turner,2021-07-03
Spooky Session Vibes,Josh Turner,2023-10-28
Sunflower River Blues,Josh Turner,2021-09-25
"Swing Medley (Palm Springs Jump/Sweet Sue, Just You)",Josh Turner,2020-09-12
Vaseline Machine Gun,Josh Turner,2021-09-11
In The Heart Of The Sea: The Comedy Of The Whaleship Essex,Josh Turner & Carson McKee,2022-03-19
Mamma Mia,Josh Turner & Carson McKee,2021-05-08
Sloop John B.,Josh Turner & cast of Simon & Garfunkel Story,2021-07-24
Son Of A Preacher Man,Josh Turner f/ Carson McKee,2022-11-19
Love Will Tear Us Apart,Josh Turner f/ Rotam Sivan,2022-02-19
All I Want For Christmas Is You,Josh Turner f/ T.3,2023-12-09
Dracula's Wedding,Josh Turner f/ Taylor Neita,2021-10-30
It's Beginning To Look A Lot Like Christmas,Josh Turner f/ Tucci Swing,2024-12-14
And Your Bird Can Sing,"Josh Turner, Carson McKee, Jim Hogan",2024-06-15
One Meat Ball,Josh White,1992-05-03
Take A Gal Like You,Josh White,1972-06-04
Baba Ganoush,Josh Woodward,2021-09-11
I Like Potatoes,Joshua Cherney,2012-11-17
Nebraska Dreams,Joshua Lee Turner,2020-08-08
Public Life,Joshua Lee Turner,2020-07-25
Rockaway,Joshua Lee Turner,2022-04-02
King Herod's Song,Joshua Mostel,2023-04-15
Turkey Killer,Joshua Smith,2011-11-19
Can't Help But Cryin' Sometime,Joshua White,1972-04-23
Sissy Man,Joshua White,1974-12-15
Sissy Man Blues,Joshua White,1977-04-24
I Can't Help From Crying Sometimes,Joshua White (The Singing Christian),1972-09-10
Tol' My Cap'n,Joshua White & His Carolinians,1977-02-06
Johnny Are You Queer,Josie Cotton,1982-01-17
Sans Sex In Solitude,Josie Hyde,2016-07-09
Beerland,Josie Sadler,2011-05-28
Doopey Darling,Joy & Dave,2019-02-09
Only Six Feet Away,Joy Ford,1997-08-10
I've Been To Me (And It's No Thrill),Joy Grdnic/Richard Levinson,1982-07-04
Dum-Dum,Joy Layne,2016-03-12
The Pussycat Song,Joy Nichols & Benny Lee,1975-02-09
Your Trash,Joy Truskowski,2025-04-05
Come Out To North Hollywood,Joyce Aimee,1976-02-01
Narcissus,Joyce Greenfell & Norman Wisdom,1975-08-03
Lady In Church,Joyce Grenfell,2018-10-06
Nursery School: Free Activity Period,Joyce Grenfell,2018-09-08
Narcissus,Joyce Grenfell & Norman Wisdom,1975-12-21
Covina,Joyce Jameson,1982-02-07
Common Scents - Spot One,JP Incorporated,2009-11-22
Jacuzzi Air,JP Incorporated,2009-11-22
The Mummy Shuffle,Juanita Coulson,2024-10-19
Happy Talk,Juanita Hall,2023-01-14
The Biggest Parakeets In Town,Jud Strunk,1996-09-29
Roaches,Judge & Jury,1984-10-21
Big 5,Judge Dread,2019-01-05
Come Outside,Judge Dread,1981-04-19
Dread Rock,Judge Dread,2019-01-05
Dread's Law,Judge Dread,1976-06-06
Je T'Aime (Moi Non Plus),Judge Dread,2014-08-16
Jingle Bells,Judge Dread,1982-12-19
What Kung Fu Dat,Judge Dread,1976-06-06
Fishin' Pole,Judith Hanson,1983-11-06
Right Said Fred,Judy Carne,2015-09-26
Sock It To Me,Judy Carne,2015-09-19
"Anything You Can Do, I Can Do Better",Judy Garland,1980-02-03
Johnny One Note,Judy Garland,1980-03-09
Meet Me In St. Louis,Judy Garland,1976-05-09
"Meet Me In St. Louis, Louis",Judy Garland,1975-10-12
Over The Rainbow,Judy Garland,1974-01-06
Stompin' At The Savoy,Judy Garland,1979-06-24
Stomping At The Savoy,Judy Garland,1977-05-08
The Purple People Eater,Judy Garland,1996-09-01
The Trolley Song,Judy Garland,1990-07-15
Zing! Went The Strings Of My Heart,Judy Garland,1985-01-27
Stompin At The Savoy,Judy Garland w/ Bob Crosby & his band,1972-10-01
Blues In The Night,Judy Garland w/ David Rose's Orchestra,1972-04-16
Salvation Army Song,Judy Henske,1986-08-17
Rock And Roll Party,Judy James & Billy Colt,1981-10-04
Romper Room Do-Bee Song,Judy James & Bobby Cold,1997-01-12
Kiddy Rock 'n Roll Party,Judy James & Bobby Colt,2025-07-26
Kiddy Rock And Roll Party,Judy James & Bobby Colt,1986-11-23
Romper Room Doo-Bee Song,Judy James & Bobby Colt,1976-03-07
Romper Room Doo-Bee Song,"Judy James & Dick Colt (w/ live in studio participation from Dr. D, Laughing Lois, Damaskas, & Normal Norman on last verse)",1978-10-15
Romper Room Do-Bee Song,Judy James f/ Bobby Colt,1977-03-27
Susie And The Stoker,Judy Marshall,2013-03-23
The Piccolo Song,Judy Marshall,1993-05-09
Piccolo Song,Judy Marshall w/ Banana & The Bunch,1975-01-19
The Piccolo Song,Judy Marshall w/ Joe Banana & The Bunch,1973-08-12
Piccolo Song,Judy Marshall/Banana & The Bunch,1974-09-15
Witch Doctor,"Judy Oakes from Needham, MA",1990-12-02
Airborne With An Ape,Judy Tenuta,1987-08-23
Boss Of The Bed,Judy Tenuta,2024-07-06
Hot Bra Cones,Judy Tenuta,2011-04-09
I Like Boys,Judy Tenuta,1997-07-20
Love Hog,Judy Tenuta,1991-01-06
Love Slave,Judy Tenuta,1991-01-20
Mountain Girl,Judy Tenuta,1995-10-15
My Dad,Judy Tenuta,2020-06-20
Party In Your Pants,Judy Tenuta,1997-09-21
Rosini excerpt on accordion,Judy Tenuta,1987-08-23
Rossini instrumental,Judy Tenuta,1987-08-23
The Pope Song,Judy Tenuta,1989-11-26
Why Are You Living,Judy Tenuta,1986-10-05
Black Dog,Juggernaut Jug Band,1997-08-31
It's Like I'm Psychic,Juggernaut Jug Band,1997-08-31
You Mean We Get Paid For This,Juggernaut Jug Band,2010-09-04
Covered In Blood,JuiceheaD,2023-01-21
Suicide Is Painless (Theme from M*A*S*H),JuiceheaD,2018-05-12
Ionisation,Juilliard Percussion Orchestra,1990-10-14
Home On The Range,Jules Allen,1983-02-13
The Days Of '49,Jules Allen,1976-07-04
The Twelve Days Of Christmas,Jules D'Hemecourt IV,1982-12-19
A Sober Christmas,Jules Worsley,2001-12-23
Don't Come Too Soon,Julia Lee,1983-05-15
I Didn't Like It The First Time (The Spinach Song),Julia Lee,1982-09-26
My Man Stands Out,Julia Lee,1974-01-20
Snatch And Grab It,Julia Lee,1980-06-01
Snatch And Grab It,Julia Lee & Boy Friends,1976-10-03
I Didn't Like It The First Time,Julia Lee & Her Boy Friends,1997-06-22
Ugly Papa,Julia Lee & Her Boy Friends,1992-08-30
My Man Stands Out,Julia Lee & Her Boyfriends,1991-11-10
Snatch And Grab It,Julia Lee & Her Boyfriends,1987-02-15
Say You're Wrong,Julian Lennon,1985-05-12
Eat Randy,Julian Smith,2022-05-07
Don't Go In The Lion's Cage Tonight,Julie Andrews,2024-05-18
Supercalifragilisticexpialidocious,Julie Andrews - Dick Van Dyke & The Pearlies,1988-09-04
Supercalifragilisticexpialidocious,Julie Andrews & Dick Van Dyke,1989-12-10
Another Drunk Chick,Julie Brown,2011-08-06
Earth Girls Are Easy,Julie Brown,1999-01-17
Girl Fight Tonight,Julie Brown,1988-03-20
Homecoming Queen's Got A Gun,Julie Brown,1998-11-01
I Like 'Em Big And Stupid,Julie Brown,1997-07-20
I Wanna Be Gay,Julie Brown,2018-05-05
My Night Before Christmas,Julie Brown,1999-12-12
Patry in my Pants/Vague 2011,Julie Brown,2024-05-11
The Ex-Beauty Queen's Got A Gun,Julie Brown,2009-05-31
Trapped In The Body Of A White Girl,Julie Brown,1987-09-27
Ways To Save Money At Christmas,Julie Brown,1994-12-18
Will I Make It Through The Eighties,Julie Brown [played before opening],2025-07-05
Original Original Honky Tonk Night Train Blues,Julie Covington & Pete Atkin,1979-07-01
Snatch And Grab It,Julie Lee,1972-09-10
Snatch And Grab It,Julie Lee & Her Boyfriends,1983-01-30
I Refuse To Rock And Roll,Julie Wilson,1972-11-12
Doctor I Love You,"Juliet from Santa Barbara, CA",1991-11-10
Ape On My Fire Escape,Julius & Caesar,1983-03-20
The Steel Foundry,"Julius Ehrlich, conductor",1992-04-05
Eh Cumpari,Julius LaRosa,1980-10-12
Stashu Pandowski,Julius LaRosa,2016-07-02
The Intellectuals' Rag,Julius Monk,1980-08-03
It's A Gas,Julius Schmidt Dirt Band,1975-06-29
What A Gas,Julius Schmidt Dirt Band,1983-05-22
Jump For Joy,Jump 'N The Saddle,2024-09-07
The Curly Shuffle,Jump 'N The Saddle,1998-11-01
The Curly Shuffle,Jump 'N The Saddle Band,1995-09-27
Coupon Clippin',Jumpin' Gene Simmons,1982-03-14
Haunted House,Jumpin' Gene Simmons,1998-10-25
You'll Wonder Where The Yellow Went,Jumpin' Jacks,1976-02-15
You're Still Not Safe in a Japanese Car,Jumpin' John Goldsmith,1993-11-14
You'll Wonder Where The Yellow Went,Jumping Jacks,1990-02-18
No Swallerin' Place,June Carter,2011-03-26
I'm Rocky's Pal/Bullwinkle's Corner,June Foray & Bill Scott,1985-12-01
(brief in-studio kazoo performance),Jungle Judy,1975-03-16
America The Beautiful,Jungle Judy,1976-05-02
Boogie,Jungle Judy,1975-06-01
Don't Sit Under A Smogberry Tree (With Anyone Else But Me),Jungle Judy,1975-05-04
Ed Barbara,Jungle Judy,1975-05-11
I'm A Woman,Jungle Judy,1976-01-25
My Name Is Judy,Jungle Judy,1978-10-22
Tell Me A Story,Jungle Judy,1978-10-22
Waffle Whiffer,Jungle Judy,1975-11-30
You're So Vain,Jungle Judy,1975-03-30
Deteriorata,Jungle Judy & Captain Chaos,1975-08-10
piano sketch,Jungle Judy & Captain Chaos,1975-06-22
poems,Jungle Judy & Captain Chaos,1974-08-11
Star Drek,Jungle Judy & Captain Chaos,1975-11-30
letter writing sketch,Jungle Judy & Laughing Linda,1976-02-22
When The Red Red Robin Comes Bob Bob Bobbin' Along,Jungle Judy & Laughing Linda,1976-06-13
Take Me Out To The Ball Game,"Jungle Judy, Dr. Demento, & Captain Chaos",1975-06-22
26 Miles (Santa Catalina)/Stardrek,Jungle Judy?,1976-02-15
Highway Patrol,Junior Brown,1994-07-03
My Wife Thinks You're Dead,Junior Brown,2024-11-30
Or What,Junior Farrington Jr.,1977-04-03
Mystery Train,Junior Parker,1972-05-21
World's Biggest Whopper,Junior Samples,1987-08-09
"Doctor, Doctor",Junior's Army,1997-03-30
Peter Piper,Junior's Army,1997-04-06
The Rolling Stones,Junior's Army,1997-09-21
Junk Food Junkie,Junk Food Junkie,1988-10-02
Sanitation Man,Junk Rock,1980-10-19
The Big Laugh,Jurgen Schlachter,2016-07-30
Disney Disorders,Just Josie Jo (Josephine McHugh),2019-02-23
Plastic Man,Justice League Of America,2018-11-03
Monsoon In The Pit,Justin Locke,2010-07-31
Part Time Job From Hell,Justin Reed & Tori Ludders,1988-07-24
Please Mr. Kennedy,"Justin Timberlake, Oscar Isaac & Adam Driver",2014-12-27
Mustard Can Be Found Anywhere,JustSomeMustard,2023-03-18
Arnold The Computer,Justus Bros.,1978-07-23
Arnold The Computer,Justus Brothers,1978-06-04
"Arnold, My Computer",Justus Brothers,2012-11-24
Murphy,Jym Mooney,2007-06-03
Old Brown Load,K Mo She,2019-04-27
Cocaine Bill,K-Rhino Boys,2019-08-17
Mercury Boogie (a/k/a Mercury Blues),K. C. Douglas,1998-03-08
Total Eclipse,K. C. Douglas,1991-07-07
Mercury Blues,K.C. Douglas,1994-06-19
But I'm Not Bitter,K.C. Jones,1996-04-14
Elevator To Menswear,K97 Looney Tunes,1988-02-14
Jell-O,K97 Looney Tunes,1986-09-14
Madonna And The Music Critic,K97 Looney Tunes,1986-08-24
Spruce Grove Girls,K97 Looney Tunes,1986-09-21
Thighs Like Us,K97 Looney Tunes,1986-09-21
Tighten Up '87,K97 Looney Tunes,1987-11-22
Planet Of The Apes Polka,Kabalas,2014-07-12
But I'm Not Bitter,Kacey Jones,1996-03-24
Donald Trump's Hair,Kacey Jones,2023-04-22
"Every Man I Love Is Either Married, Gay Or Dead",Kacey Jones,2010-11-06
How Do You Like These Babies Now?,Kacey Jones,2003-11-09
I'm Down To My Christmas Underwear,Kacey Jones,2004-12-19
Never Wear Panties To A Party,Kacey Jones,2020-10-03
That's Why I Keep Him,Kacey Jones,2013-09-21
Divided We Stand,Kacey Jones & Jesse Goldberg,2016-09-17
Tu-Tu-E Tu-Tu-Hoi,Kalama Quintette,1985-02-03
On The Beach At Waikiki,Kalama's Quartet,1988-01-17
On The Beach At Waikiki,Kalama's Quartette,1988-01-17
Dork At The Party,Kamikaze Klones,1983-03-06
Too Fat To Fly,Kamikaze Snowmen,2010-11-06
Liberty Bell,Kaminsky International Kazoo Quartet,1980-06-22
Liberty Bell March,Kaminsky International Kazoo Quartet,1980-06-01
Take Your Love And Shove It,Kane's Cousins,1972-07-30
When The Levee Breaks,Kansas Joe & Memphis Minnie,1973-01-28
"Oua, Oua",Kanui & Lula,1980-11-30
Coronavirus U. S. A.,Karen Morris Wallen Warner,2020-04-25
I Got A Code In My Doze,"Karen Shotz(?) from Syracuse, NY",1985-11-03
Serutan Yob,Karen Tedder/Hawthorne/Red Ingle,1976-10-03
When Johnny Goes Mincing Off To War,Karen Zuehlke,1993-02-21
B-I-B-L-E,Karl & Hardy,1972-11-26
Why Do Girls Wear Britches,Karl & Hardy,1972-11-26
51 Beers,Karl & Harty,1989-06-04
Fifty-One Beers,Karl & Harty,1989-06-04
Girls Don't Refuse To Kiss A Soldier,Karl & Harty,1991-12-05
I'm Here To Get My Baby Out Of Jail,Karl & Harty,2022-05-07
Let's All Have Another Beer,Karl & Harty,1982-08-08
The B-I-B-L-E,Karl & Harty,1991-02-03
When The Atom Bomb Fell,Karl & Harty,1982-05-30
Why Do Girls Wear Breeches?,Karl & Harty,1982-04-04
Why Do Girls Wear Britches,Karl & Harty,1982-03-14
Sarah Palin Shot Santa's Reindeer,Karl Brown,2015-12-05
The Shittim Wood Tree,Karl Brown,2014-03-22
The Sound Of Mucus,Karl Brown,2023-07-22
I'm Saved,Karl Davis & The Cumberland Ridge Runners,1974-10-13
Santa Claus Is Coming To My House,Karla DeVito,1982-12-19
Bicycle Seat,Karma Clowns,1986-11-09
Quick Joey Small (Run Joey Run),Kasenetz-Katz Singing Orchestral Circus,1987-01-18
Na Cl,Kate & Anna McGarrigle,1994-02-13
Dear Deer,Kate Micucci,2024-11-16
It's Time To Get Laid,Kate Micucci & William H. Macy,2022-11-26
Goin' Back Agin',Kate O'Neal,1990-10-07
"Kids, Kids, Kids",Kate O'Neal,1989-11-26
My Hair,Kate O'Neal,1999-06-27
God Bless America,Kate Smith,1976-07-04
Sick,Katelyn Carolyn,2018-09-08
Suzi Uzi,Katfish Row,1995-05-21
Suzy Uzi,Katfish Row,1995-06-11
The Merry Minuet,Katharine Hepburn,1991-11-17
Nixon's The One,Kathryn & Duffy & The Enemies List,1989-08-06
Nixon's The One,Kathryn & Duffy & The Enemies List [not played because record couldn't be found;,1974-05-26
Pumpkin Man,Kathy Bee,1982-10-17
"Lem, The Orphan Reindeer",Kathy Garver,1987-12-20
The Clicker (For the Maggie Fans),Kathy Griffin,2009-01-25
Every Little Breeze Seems To Whisper Dr. Demento,"Kathy Guznik & Danielle Kessler from Phoenix Hill, PA",1979-07-01
Calm Down (It's Only Ones And Zeros),Kathy Mar,1988-10-02
Nobody's Moggy Now,Kathy Mar,2001-01-14
On The Amazon,Kathy Mattea,2015-11-07
Anaheim,Kathy May & Diane Christenson,1977-05-01
Santa's Sheets,Kathy Savoie,1992-12-20
Santa's Sheets,Kathy Savole,1992-12-13
I'd Rather Be Blue,Katie from high in the mountains of the Redwood Forest,1984-03-25
"Sorry Babe, You're A Feminist",Katie Goodman,2016-02-27
Don'tville,Katie Lee,1974-10-13
Get Well March,Katie Lee,1974-10-20
Gunslinger,Katie Lee,2025-08-02
Little Willie,Katie Lee,1994-03-27
Lotsa Money,Katie Lee,2016-02-20
Repressed Hostility Blues,Katie Lee,1986-01-19
Shrinker Man,Katie Lee,1986-09-28
The Guilty Rag,Katie Lee,1993-09-19
When I Was A Little Girl,Katie Lee,1974-09-15
Real Sick Sounds,Katie Lee w/ Bob Thompson & The Group,2020-02-01
Shrinker Man,Katie Lee w/ Bob Thompson & The Group,2015-10-17
The Guilty Rag,Katie Lee w/ Bob Thompson & The Group,2011-05-21
The Will To Fail,Katie Lee w/ Bob Thompson & The Group,2015-10-17
Don'tville,Katie Lee w/ Ray Martin & His Orchestra,2013-01-19
Life Is Just A Bed Of Neuroses,Katie Lee w/ Ray Martin & His Orchestra,2019-11-02
The Ballad For Group Therapy,Katie Lee w/ Ray Martin & His Orchestra,2011-05-21
Walking On Sunshine,Katrina & The Waves,1985-06-23
The Sneeze Song,Kay & Garth,1981-11-08
"Wham Bam, Thank You Space Man",Kay Dennis,1978-10-08
Movie Rentin' Mama,Kay Francis,1993-07-25
Movie Rentin' Momma,Kay Francis,1993-08-08
Three Birds,Kay Kalie,1976-12-12
Three Birds,Kay Kalie & His Kay-Lites,1979-01-14
Three Birds,Kay Kalie & The Kay-Lites,1985-08-11
"A Trout, No Doubt",Kay Kyser,1987-03-15
A Zoot Suit,Kay Kyser,1981-11-01
"Any Rags, Any Bones, Any Bottles Today",Kay Kyser,1978-02-19
Butler's Dream,Kay Kyser,1979-06-17
Friendship,Kay Kyser,1975-08-03
Horses Don't Bet On People,Kay Kyser,1992-07-19
M-E-L-V-I-N (The Goat Boy),Kay Kyser,2014-11-01
Mairzy Doats,Kay Kyser,1988-03-20
Pass That Peace Pipe,Kay Kyser,1972-10-29
The Headless Horseman,Kay Kyser,1984-10-28
There Won't Be A Shortage Of Love,Kay Kyser,1973-10-21
Three Little Fishies,Kay Kyser,1993-05-30
When Veronica Plays The Harmonica,Kay Kyser,1981-10-04
Who's Yehoodi,Kay Kyser,1973-01-07
Who's Yehudi,Kay Kyser,1972-10-29
Woody Woodpecker,Kay Kyser,1973-03-11
Bell Bottom Trousers,"Kay Kyser (Ferdie, Slim & Quartet)",1978-04-16
"A Trout, No Doubt",Kay Kyser & His orchestra,2019-06-08
Horses Don't Bet On People,Kay Kyser & His Orchestra,1981-05-03
Isch Ka Bibble,Kay Kyser & His Orchestra,1978-12-10
Mairzy Doats,Kay Kyser & His Orchestra,1992-01-05
Praise The Lord And Pass The Ammunition,Kay Kyser & His Orchestra,1975-09-14
Strip Polka,Kay Kyser & His Orchestra,1982-06-20
The Bad Humor Man,Kay Kyser & His Orchestra,1984-05-13
The Headless Horseman,Kay Kyser & His Orchestra,2009-10-18
Three Little Fishies (Itty Bitty Poo),Kay Kyser & His Orchestra,1999-07-11
Ish Ka Bibble,Kay Kyser & His Orchestra (f/ Merwyn Bogue),1997-10-12
Isch Ka Bibble,Kay Kyser & His Orchestra f/ Merwyn Bogue,1978-11-19
He's A Devil In His Own Home Town,Kay Kyser & His Orchestra f/ Merwyn Bogue (Ishkabibble),1976-09-19
The Headless Horseman,Kay Kyser & The Campus Boys & Girls,1982-10-31
Headless Horseman,Kay Kyser & The Campus Kids (vocal by Freddie Froghammer),1975-08-10
When Veronica Plays Harmonica,Kay Kyser & The Kampus Kids f/ Gloria Wood,1975-03-02
A Zoot Suit,Kay Kyser f/ Sully Mason,1973-04-08
The Headless Horseman,Kay Kyser w/ The Campus Kids & Freddie Froghammer,1977-10-30
Praise The Lord And Pass The Ammunition,Kay Kyser's band,1991-12-05
When Veronica Plays The Harmonica,Kay Kyser's Campus Cowboys,1996-02-25
When Veronica Plays The Harmonica,Kay Kyser's Campus Cowboys & Gloria Wood,1974-06-02
When Veronica Plays The Harmonica,Kay Kyser's Kampus Kowboys,1988-06-26
"When Veronica Plays The Harmonica, Down On The Beach At Santa Monica",Kay Kyser's Kampus Kowboys,1975-12-07
When Veronica Plays Her Harmonica,Kay Kyser/Gloria Wood,1975-01-05
When Veronica Plays The Harmonica,Kay Kyser/Gloria Wood,1975-12-07
Ishkabibble,Kay Kyser/Merwyn Bogue,1976-01-25
Zoot Suit,"Kay Kyser/Sully Mason, Trudy, Jack & Max",1978-04-16
Hang Your Balls On The Xmas Tree,Kay Martin & Her Body Guards,2023-12-23
Rock And Roll Waltz,Kay Starr,1981-10-04
The Rock And Roll Waltz,Kay Starr w/ Hugo Winterhalter's Orchestra & Chorus,2025-07-26
Eloise,Kay Thompson,1991-01-20
Little Kid Sister,Kaye Ballard,1976-06-27
Purple,Kaye Ballard,1975-01-12
Teeny Tiny,Kaye Ballard,1991-11-24
Birthday,Kazoo band,1978-07-30
Rubber Biscuit,Kazoo Brothers,1979-04-15
Frosty The Snowman,Kazoo Slim,1978-12-24
Deck The Halls,Kazoo Slim (Mike Kieffer),1978-12-24
Jingle Bells,Kazoo Slim (Mike Kieffer),1978-12-24
Daylight Savin' Time,Keith,1986-04-27
Honky Tonk Train Blues,Keith Emerson,1977-03-27
Two Terms,Keith Ferguson,1998-10-11
Sgt. Pepper's Epitaph,Keith Green,1994-02-06
Orange County,Keith Harman,1990-02-04
Orange County,Keith Harman & His Orchestra & Chorus,1985-08-04
All God's Children,Keith Harman & His Orchestra w/ The Vocalaires,2018-10-06
Orange County,Keith Harman & His Orchestra w/ The Vocalaires,1978-07-02
I'm Not Gonna Be A Hippie Anymore,Keith Herrick,1989-01-08
Coffee Breath,Keith Munslow,2015-04-25
Shaving Cream,"Keith Wagner from Chevy Chase, MD",1980-06-29
This Is How We're Jewish,Keithfromupdablock,2012-10-06
A Moment Of Discomfort,Kel M. Crum,1993-04-18
Godzilla Vs. Orville,Kel M. Crum,1992-08-30
Godzilla: The Musical,Kel M. Crum,2014-05-31
Rain Forrest,Kel M. Crum,1996-01-21
Song Of Tsongas,Kel M. Crum,1992-03-01
"Woody, The Musical",Kel M. Crum,1997-03-09
Give Me A Ukulele,Keller Sisters & Lynch w/ The Ipana Troubadours [not on aircheck],1972-08-13
Donuts,Keller Williams,2021-06-05
Shoes,Kelly,2008-07-06
Hey-O (The Second Banana Song),Kelly & Co. Singers f/ Bill Andres,1988-08-07
Cicada Lover,Kelly Clark & The Cicadettes,1990-07-29
My Name Is John Johanna,Kelly Harrell,1971-06-06
"Oh, My Pretty Monkey",Kelly Harrell,2022-02-19
Accidental Daddy,Kelly Meyersfield,2011-02-19
Better,Kelly Meyersfield,2011-02-19
Pico And Sepulveda,"Kelyn Press, Santa Monica",1977-03-13
(Barbie You're Beautiful),Ken,1974-06-30
Adventures In Dementia I,Ken Adams & Joanne Telerico,1978-02-05
Fooba Wooba John,Ken Bloom,1991-01-20
Fooba Wooba John,Ken Bloom w/ The Greater Chicago Fooba Wooba Choir,1978-09-24
"Rain, Rain, Go Away",Ken Carson,1980-02-17
